guuid	mlst
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126	624
1da1ff0b-d5e0-4a0f-9bb3-1013b92b55d2	73
1dc65002-ac09-48ce-a51c-81ed226d5bb9	131
1db7a130-caae-4bdb-a835-417130f7bdf3	58
1da3b6f0-e0b6-4f45-8415-2d75fb6c4102	73
1e08c582-2877-4270-b7b9-57e1c492c4a1	69
1e20a206-4cc3-43b7-b8a4-3cdf3528fff7	34
1e2d6faf-7483-4545-b31c-145cb7941d73	127
1e41113a-048a-4f7d-8948-8bb152dc8ae4	5440
1e3d9e36-081c-4322-8862-a90120d98efd	73
1e430ae7-5509-4f99-8de1-1b2a0d898e23	131
1e7672fc-0db5-49bc-a3e7-2424157e6278	73
1e4c0c4a-5fa9-436f-ab56-3dccf05da49e	131
1e805e34-e750-4b92-b475-7aee0df3eae5	648
1e67a9ba-c68e-4231-ad57-37763f65e1c7	4363
1ec35ac0-cac5-4773-a9e0-d35ae3f7b53c	-
1ea796dc-48bb-42ee-8f2b-06824c20a881	23
1ed9ba5c-5d7a-405d-aed7-8457aeb82f3d	297
1ef3d9a8-8ad3-480c-bf63-5d3c88cc7897	73
1f445173-cfce-4853-b123-83117f828794	131
1f68928e-4463-4ae4-9011-8ea9654f1541	73
1f9542a4-c74e-40c8-b546-65b193aafdf1	95
1f850b95-0ae7-42c3-af06-9b1131690dde	69
1fb6e2be-bd63-480b-8b28-1898928b5d1d	131
1fec59fa-9760-422d-afb8-0317218e75e7	12
1fdf9874-a588-4746-8623-bef66c99be9c	127
1ff45b3f-687d-4f2a-a83a-9065b0a07e0d	-
2016c385-2251-4d52-8add-5b9419170183	7523
2012bcb1-7374-4510-be48-247d9e13980f	5762
204c442e-7525-443d-b428-359ebc8aff0b	127
203fb8e1-a76c-4068-8802-43a4a2a75386	80
205cdf3b-e980-4582-86d6-68f0f73d5576	131
20728cdb-7599-4c20-8aaa-9788572a8d82	69
2094c45a-ad91-4ef9-b423-45c7507869bf	62
20b956a0-616b-4b15-b8a8-f8800b7c7a2c	10276
20d735a0-552d-49b6-8498-c9f49e9cc15f	131
2000e054-0287-4fc4-8eb1-2b1c9236338a	131
20e56104-98f3-4827-87c8-9d07cd40d36f	73
20f72ee1-1d91-4698-a612-336e112ba57a	10
2111efac-ec16-4387-b4c4-69388ccc87fb	80
212eb2a9-d013-4ca3-a0c1-40d6cc2e4848	73
210a940d-7002-4075-95eb-676cc83a2fc2	95
21308d99-d08c-4f78-b815-948fb3824371	131
21460741-aad3-46cd-a4d1-b9923582b8b3	1049
21105bcf-a732-412d-ab04-dfb872926f61	141
21282296-078d-4afd-9784-3e1b4b94ee5c	69
2190e4dd-5d2f-4c97-9fed-92607247fd90	-
2165b46a-7ae4-4b06-896f-3209a2162dbc	130
218e5abe-49a5-40f5-b414-6524469b8b4b	543
21c5c58a-f31a-4936-a500-2dcb6f03d39c	69
2233c4fd-c922-4fa8-8b2a-e47069550774	5566
220ce483-8ab7-4118-be8a-f46c09a89f48	131
21dfdb47-5c4a-4125-98e9-94f66b922494	131
2209722f-1095-4952-8131-b6f08869b9f9	73
22638f23-c777-4d18-ba68-eaf3bfbfa065	73
21cf8da7-f812-4a70-a330-c89d8a802f05	1444
21f5d23a-7554-46cd-8e5b-3730ea1a38e2	73
229782e2-7662-4e75-a2f9-1a3f12f7988b	95
22a2bd54-8853-4675-a0f6-bef021ac3b06	88
22db17c7-d0b6-4d4a-bfeb-4fc43fb1c870	73
22de8ee1-57d3-473d-ae87-52a897bc780a	550
22e0d984-6eea-42be-bdf5-8e2ac684d86c	95
22a88629-a247-438f-8429-5abab374b68c	-
22ec1f35-5e14-4683-8355-6bf718f952b2	95
23028809-3a10-4bbd-b278-0bb3d95a0fdf	73
231066cc-6eef-4d84-ad83-e47237c54599	69
2317a5c7-4c79-4a56-8350-5826f5dd7f10	720
23087e1c-a89f-4479-bd97-72f6a64a68ac	73
2341d72c-4b9b-403b-a8dc-bbbfe1356c53	69
2304bdef-adc1-47f8-acfa-1c211c785cc7	73
23436083-3713-4eab-9284-b360a7c4fc15	88
236ea5ef-da75-4808-9af0-2290be2d4b2f	404
238b9f86-2ba4-4fc2-9ce1-3a57c0b12f81	2554
239b64ee-3e32-4ad0-bfb7-1d45f4eea382	131
23a12793-416a-4eba-8cb9-2e0e869fe757	131
23ada49d-5eb3-40b0-a860-f9becaa9b01a	10
23d94841-4ba2-4e13-a4b3-361d78b9b66d	9823
23d800b8-00f8-42be-9338-a1e9e9f86919	648
23e0f82b-fc03-4c5a-b956-b689ca905aac	95
23e935f2-7f98-4ff4-be2e-fab08222699e	131
23f009c4-838d-46b6-9606-d08bd53687ac	73
23f0ca5b-d395-43a8-8e2b-602721c1ea9b	12
242c06fb-62a2-4fcd-9a3a-770305b89c44	144
242fad6f-1dfc-46b8-aa03-ce9238896fbf	131
